"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Bosnia and Herz. (BA)","04.12.2021 20:00 - 04.12.2021 21:00 (CET)","N/A","1144","N/A","N/A","N/A","N/A","N/A","N/A","N/A","204","","142","736","N/A","N/A","N/A","N/A","n/e","N/A","n/e","26"
"Bosnia and Herz. (BA)","04.12.2021 21:00 - 04.12.2021 22:00 (CET)","N/A","1143","N/A","N/A","N/A","N/A","N/A","N/A","N/A","157","","142","777","N/A","N/A","N/A","N/A","n/e","N/A","n/e","20"
"Bosnia and Herz. (BA)","04.12.2021 22:00 - 04.12.2021 23:00 (CET)","N/A","1151","N/A","N/A","N/A","N/A","N/A","N/A","N/A","166","","141","739","N/A","N/A","N/A","N/A","n/e","N/A","n/e","19"
"Bosnia and Herz. (BA)","04.12.2021 23:00 - 05.12.2021 00:00 (CET)","N/A","1147","N/A","N/A","N/A","N/A","N/A","N/A","N/A","166","","141","737","N/A","N/A","N/A","N/A","n/e","N/A","n/e","29"
"Bosnia and Herz. (BA)","05.12.2021 00:00 - 05.12.2021 01:00 (CET)","N/A","1152","N/A","N/A","N/A","N/A","N/A","N/A","N/A","82","","141","646","N/A","N/A","N/A","N/A","n/e","N/A","n/e","32"
"Bosnia and Herz. (BA)","05.12.2021 01:00 - 05.12.2021 02:00 (CET)","N/A","1119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","141","678","N/A","N/A","N/A","N/A","n/e","N/A","n/e","39"
"Bosnia and Herz. (BA)","05.12.2021 02:00 - 05.12.2021 03:00 (CET)","N/A","1107","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","141","697","N/A","N/A","N/A","N/A","n/e","N/A","n/e","50"
"Bosnia and Herz. (BA)","05.12.2021 03:00 - 05.12.2021 04:00 (CET)","N/A","1113","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","141","663","N/A","N/A","N/A","N/A","n/e","N/A","n/e","59"
"Bosnia and Herz. (BA)","05.12.2021 04:00 - 05.12.2021 05:00 (CET)","N/A","1114","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","142","598","N/A","N/A","N/A","N/A","n/e","N/A","n/e","73"
"Bosnia and Herz. (BA)","05.12.2021 05:00 - 05.12.2021 06:00 (CET)","N/A","1106","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","142","619","N/A","N/A","N/A","N/A","n/e","N/A","n/e","79"
"Bosnia and Herz. (BA)","05.12.2021 06:00 - 05.12.2021 07:00 (CET)","N/A","1129","N/A","N/A","N/A","N/A","N/A","N/A","N/A","55","","142","634","N/A","N/A","N/A","N/A","n/e","N/A","n/e","88"
"Bosnia and Herz. (BA)","05.12.2021 07:00 - 05.12.2021 08:00 (CET)","N/A","1154","N/A","N/A","N/A","N/A","N/A","N/A","N/A","142","","142","646","N/A","N/A","N/A","N/A","n/e","N/A","n/e","98"
"Bosnia and Herz. (BA)","05.12.2021 08:00 - 05.12.2021 09:00 (CET)","N/A","1141","N/A","N/A","N/A","N/A","N/A","N/A","N/A","146","","142","705","N/A","N/A","N/A","N/A","n/e","N/A","n/e","95"
"Bosnia and Herz. (BA)","05.12.2021 09:00 - 05.12.2021 10:00 (CET)","N/A","1148","N/A","N/A","N/A","N/A","N/A","N/A","N/A","179","","143","726","N/A","N/A","N/A","N/A","n/e","N/A","n/e","87"
"Bosnia and Herz. (BA)","05.12.2021 10:00 - 05.12.2021 11:00 (CET)","N/A","1146","N/A","N/A","N/A","N/A","N/A","N/A","N/A","181","","150","721","N/A","N/A","N/A","N/A","n/e","N/A","n/e","84"
"Bosnia and Herz. (BA)","05.12.2021 11:00 - 05.12.2021 12:00 (CET)","N/A","1145","N/A","N/A","N/A","N/A","N/A","N/A","N/A","209","","150","732","N/A","N/A","N/A","N/A","n/e","N/A","n/e","44"
"Bosnia and Herz. (BA)","05.12.2021 12:00 - 05.12.2021 13:00 (CET)","N/A","1185","N/A","N/A","N/A","N/A","N/A","N/A","N/A","175","","150","725","N/A","N/A","N/A","N/A","n/e","N/A","n/e","11"
"Bosnia and Herz. (BA)","05.12.2021 13:00 - 05.12.2021 14:00 (CET)","N/A","1195","N/A","N/A","N/A","N/A","N/A","N/A","N/A","141","","150","745","N/A","N/A","N/A","N/A","n/e","N/A","n/e","64"
"Bosnia and Herz. (BA)","05.12.2021 14:00 - 05.12.2021 15:00 (CET)","N/A","1168","N/A","N/A","N/A","N/A","N/A","N/A","N/A","157","","149","709","N/A","N/A","N/A","N/A","n/e","N/A","n/e","97"
"Bosnia and Herz. (BA)","05.12.2021 15:00 - 05.12.2021 16:00 (CET)","N/A","1142","N/A","N/A","N/A","N/A","N/A","N/A","N/A","213","","149","689","N/A","N/A","N/A","N/A","n/e","N/A","n/e","97"
