YEAR;MO;DY;HR;T2M
2018;2;1;22;4.72
2018;2;1;23;4.72
2018;2;2;0;4.87
2018;2;2;1;5.11
2018;2;2;2;5.37
2018;2;2;3;5.52
2018;2;2;4;5.63
2018;2;2;5;5.7
2018;2;2;6;5.83
2018;2;2;7;5.97
2018;2;2;8;6.48
2018;2;2;9;7.42
2018;2;2;10;8.19
2018;2;2;11;8.44
2018;2;2;12;8.31
2018;2;2;13;8.48
2018;2;2;14;8.77
2018;2;2;15;8.57
2018;2;2;16;8
2018;2;2;17;8.08
2018;2;2;18;8.52
2018;2;2;19;8.76
2018;2;2;20;8.79
2018;2;2;21;8.67
2018;2;2;22;8.51
2018;2;2;23;8.4
2018;2;3;0;8.73
2018;2;3;1;8.86
2018;2;3;2;8.75
2018;2;3;3;8.25
2018;2;3;4;5.94
2018;2;3;5;4.65
2018;2;3;6;5.32
2018;2;3;7;6.91
2018;2;3;8;7.97
2018;2;3;9;8.17
2018;2;3;10;8.26
2018;2;3;11;8.43
2018;2;3;12;8.63
2018;2;3;13;8.33
2018;2;3;14;8
2018;2;3;15;6.98
2018;2;3;16;5.95
2018;2;3;17;5.2
2018;2;3;18;4.45
2018;2;3;19;3.55
2018;2;3;20;2.26
2018;2;3;21;0.96
2018;2;3;22;0.08
2018;2;3;23;-0.87
2018;2;4;0;-1.12
2018;2;4;1;-1.05
2018;2;4;2;-1.06
2018;2;4;3;-1.03
2018;2;4;4;-1.2
2018;2;4;5;-1.63
2018;2;4;6;-2.02
2018;2;4;7;-1.29
2018;2;4;8;-0.5
2018;2;4;9;0.1
2018;2;4;10;0.58
2018;2;4;11;1.04
2018;2;4;12;1.44
2018;2;4;13;1.36
2018;2;4;14;0.81
2018;2;4;15;-0.12
2018;2;4;16;-1.62
2018;2;4;17;-2.89
2018;2;4;18;-3.36
2018;2;4;19;-3.46
2018;2;4;20;-3.39
2018;2;4;21;-3.29
2018;2;4;22;-3.21
2018;2;4;23;-3.29
2018;2;5;0;-3.35
2018;2;5;1;-3.37
2018;2;5;2;-3.27
2018;2;5;3;-3.24
